mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
19.18,0.524,2.668,0.228,1.778,0.473,5.147,5.692,0.0
20.978,0.621,1.418,0.184,1.217,0.399,3.217,4.716,0.0
21.009,0.684,1.137,0.162,1.0,0.345,2.643,4.571,0.0
21.306,0.726,0.895,0.15,0.894,0.324,2.263,4.521,0.0
21.777,0.728,0.897,0.14,0.837,0.306,2.18,4.499,0.0
21.89,0.739,0.83,0.138,0.788,0.296,2.051,4.505,0.0
21.951,0.75,0.68,0.127,0.759,0.278,1.843,4.495,0.0
22.341,0.756,0.66,0.131,0.744,0.273,1.808,4.506,0.0
22.462,0.763,0.579,0.123,0.725,0.267,1.694,4.52,0.0
22.452,0.766,0.582,0.121,0.699,0.258,1.66,4.489,0.0
22.325,0.78,0.55,0.12,0.661,0.256,1.586,4.499,0.0
22.552,0.773,0.511,0.114,0.648,0.244,1.516,4.484,0.0
22.877,0.775,0.503,0.112,0.64,0.236,1.49,4.511,0.0
22.356,0.79,0.484,0.11,0.616,0.234,1.444,4.525,0.0
22.47,0.802,0.423,0.105,0.566,0.231,1.325,4.512,0.0
22.781,0.804,0.469,0.105,0.567,0.222,1.363,4.499,0.0
22.661,0.809,0.432,0.104,0.547,0.224,1.307,4.541,0.0
23.081,0.82,0.395,0.104,0.514,0.219,1.233,4.474,0.0
22.941,0.803,0.356,0.101,0.559,0.218,1.235,4.484,0.0
23.195,0.818,0.326,0.096,0.508,0.215,1.144,4.446,0.0
23.069,0.821,0.328,0.098,0.525,0.212,1.164,4.465,0.0
22.888,0.813,0.361,0.097,0.526,0.201,1.185,4.487,0.0
23.082,0.832,0.296,0.089,0.468,0.205,1.058,4.489,0.0
22.79,0.832,0.279,0.091,0.46,0.2,1.03,4.46,0.0
22.818,0.827,0.33,0.094,0.48,0.203,1.107,4.448,0.0
23.353,0.837,0.282,0.087,0.446,0.197,1.013,4.419,0.0
23.044,0.837,0.282,0.087,0.454,0.192,1.014,4.441,0.0
23.147,0.836,0.289,0.086,0.439,0.195,1.009,4.463,0.0
23.443,0.847,0.267,0.085,0.426,0.194,0.972,4.508,0.0
23.411,0.847,0.257,0.082,0.432,0.19,0.961,4.475,0.0
23.5,0.842,0.272,0.081,0.428,0.187,0.968,4.449,0.0
23.723,0.854,0.275,0.081,0.399,0.188,0.944,4.413,0.0
23.451,0.855,0.261,0.08,0.413,0.186,0.94,4.476,0.0
23.311,0.856,0.231,0.079,0.399,0.178,0.887,4.457,0.0
23.15,0.853,0.227,0.077,0.407,0.177,0.888,4.444,0.0
23.186,0.863,0.23,0.073,0.384,0.173,0.86,4.42,0.0
23.411,0.864,0.236,0.076,0.397,0.184,0.894,4.462,0.0
23.299,0.866,0.232,0.074,0.377,0.168,0.85,4.417,0.0
23.834,0.869,0.221,0.072,0.366,0.173,0.832,4.499,0.0
23.569,0.865,0.214,0.072,0.367,0.173,0.825,4.497,0.0
